ID,NDVI_A,NDVI_B
4312,0.499,0.673
4313,0.518,0.755
4314,0.592,0.773
4315,0.792,0.815
4316,0.701,0.749
4319,0.568,0.776
4320,0.643,0.811
4321,0.639,0.803
4322,0.746,0.766
4323,0.71,0.785
4324,0.694,0.751
4326,0.693,0.8
4327,0.475,0.706
4328,0.679,0.812
4329,0.757,0.826
4331,0.795,0.835
4332,0.713,0.786
4333,0.806,0.832
4334,0.74,0.852
4335,0.769,0.828
4336,0.753,0.809
4337,0.816,0.827
4338,0.773,0.821
4340,0.798,0.906
4341,0.818,0.865
4342,0.827,0.869
4343,0.824,0.912
4345,0.834,0.9
4346,0.761,0.832
4347,0.832,0.864
4348,0.8,0.806
4349,0.81,0.914
4350,0.475,0.702
4352,0.397,0.773
4353,0.416,0.788
4354,0.514,0.762
4355,0.644,0.793
4356,0.703,0.794
4357,0.635,0.789
4358,0.698,0.797
4359,0.727,0.78
4361,0.749,0.824
4366,0.741,0.806
4367,0.703,0.803
4369,0.755,0.824
4370,0.763,0.829
4371,0.763,0.859
4372,0.717,0.817
4373,0.78,0.826
4374,0.785,0.804
4375,0.784,0.839
4377,0.783,0.84
4379,0.798,0.807
4382,0.808,0.843
4383,0.789,0.828
4384,0.793,0.85
4385,0.805,0.841
4386,0.798,0.831
4387,0.807,0.878
4388,0.802,0.869
4390,0.812,0.858
4391,0.799,0.883
4392,0.808,0.852
4393,0.784,0.891
4396,0.477,0.718
4397,0.491,0.767
4398,0.428,0.773
4399,0.544,0.794
4400,0.643,0.797
4401,0.723,0.811
4402,0.709,0.823
4403,0.698,0.809
4404,0.745,0.824
4405,0.771,0.844
4406,0.779,0.872
4407,0.744,0.803
4408,0.767,0.856
4409,0.778,0.839
4410,0.761,0.825
4413,0.791,0.875
4414,0.807,0.866
4415,0.804,0.868
4418,0.806,0.883
4419,0.801,0.9
4420,0.821,0.884
4421,0.816,0.863
4422,0.798,0.866
4423,0.824,0.859
4424,0.823,0.903
4425,0.824,0.914
4426,0.819,0.865
4427,0.822,0.89
4428,0.819,0.881
4429,0.825,0.876
4430,0.819,0.871
4431,0.831,0.895
4432,0.387,0.687
4433,0.533,0.779
4434,0.503,0.754
4435,0.587,0.771
4437,0.634,0.751
4438,0.719,0.809
4439,0.717,0.768
4440,0.751,0.793
4442,0.715,0.786
4443,0.739,0.794
4444,0.737,0.819
4445,0.753,0.813
4446,0.756,0.827
4447,0.757,0.824
4448,0.788,0.836
4450,0.736,0.796
4451,0.772,0.817
4452,0.78,0.821
4454,0.757,0.816
4455,0.745,0.822
4456,0.731,0.839
4458,0.788,0.825
4459,0.786,0.823
4460,0.801,0.804
4461,0.273,0.647
4462,0.425,0.785
4463,0.369,0.761
4464,0.423,0.751
4466,0.684,0.804
4467,0.653,0.794
4468,0.733,0.818
4469,0.696,0.782
4470,0.732,0.84
4471,0.765,0.83
4472,0.766,0.824
4473,0.719,0.791
4474,0.753,0.828
4475,0.762,0.818
4477,0.777,0.836
4479,0.73,0.778
4480,0.767,0.867
4481,0.787,0.856
4482,0.759,0.833
4483,0.756,0.786
4485,0.754,0.824
4486,0.801,0.837
4487,0.775,0.826
4488,0.758,0.8
4489,0.263,0.68
4490,0.39,0.732
4492,0.26,0.701
4493,0.316,0.678
4494,0.707,0.797
4496,0.642,0.78
4497,0.656,0.779
4499,0.565,0.768
4500,0.678,0.816
4501,0.743,0.817
4502,0.745,0.823
4503,0.712,0.791
4504,0.765,0.832
4505,0.768,0.822
4506,0.677,0.814
4507,0.705,0.772
4508,0.731,0.814
4509,0.755,0.846
4510,0.783,0.838
4511,0.749,0.85
4512,0.773,0.856
4514,0.787,0.875
4515,0.788,0.855
4516,0.754,0.81
4517,0.499,0.673
4518,0.518,0.755
4520,0.592,0.773
4522,0.792,0.815
4523,0.701,0.749
4524,0.568,0.776
4526,0.643,0.811
4527,0.639,0.803
4528,0.746,0.766
4529,0.71,0.785
4530,0.694,0.751
4531,0.693,0.8
4532,0.475,0.706
4533,0.679,0.812
4534,0.757,0.826
4535,0.795,0.835
4537,0.713,0.786
4538,0.806,0.832
4539,0.74,0.852
4540,0.769,0.828
4542,0.753,0.809
4543,0.816,0.827
4544,0.773,0.821
4545,0.798,0.906
4546,0.818,0.865
4547,0.827,0.869
4548,0.824,0.912
4550,0.834,0.9
4551,0.761,0.832
4552,0.832,0.864
4553,0.8,0.806
4554,0.81,0.914
4555,0.475,0.702
4557,0.397,0.773
4558,0.416,0.788
4559,0.514,0.762
4560,0.644,0.793
4561,0.703,0.794
4562,0.635,0.789
4564,0.698,0.797
4565,0.727,0.78
4566,0.749,0.824
4567,0.741,0.806
4568,0.703,0.803
4569,0.755,0.824
4571,0.763,0.829
4572,0.763,0.859
4573,0.717,0.817
4574,0.78,0.826
4575,0.785,0.804
4576,0.784,0.839
4577,0.783,0.84
4578,0.798,0.807
4579,0.808,0.843
4582,0.789,0.828
4583,0.793,0.85
4584,0.805,0.841
4312,0.798,0.831
4313,0.807,0.878
4314,0.802,0.869
4315,0.812,0.858
4316,0.799,0.883
4319,0.808,0.852
4320,0.784,0.891
4321,0.477,0.718
4322,0.491,0.767
4323,0.428,0.773
4324,0.544,0.794
4326,0.643,0.797
4327,0.723,0.811
4328,0.709,0.823
4329,0.698,0.809
4331,0.745,0.824
4332,0.771,0.844
4333,0.779,0.872
4334,0.744,0.803
4335,0.767,0.856
4336,0.778,0.839
4337,0.761,0.825
4338,0.791,0.875
4340,0.807,0.866
4341,0.804,0.868
4342,0.806,0.883
4343,0.801,0.9
4345,0.821,0.884
4346,0.816,0.863
4347,0.798,0.866
4348,0.824,0.859
4349,0.823,0.903
4350,0.824,0.914
4352,0.819,0.865
4353,0.822,0.89
4354,0.819,0.881
4355,0.825,0.876
4356,0.819,0.871
4357,0.831,0.895
4358,0.387,0.687
4359,0.533,0.779
4361,0.503,0.754
4366,0.587,0.771
4367,0.634,0.751
4369,0.719,0.809
4370,0.717,0.768
4371,0.751,0.793
4372,0.715,0.786
4373,0.739,0.794
4374,0.737,0.819
4375,0.753,0.813
4377,0.756,0.827
4379,0.757,0.824
4382,0.788,0.836
4383,0.736,0.796
4384,0.772,0.817
4385,0.78,0.821
4386,0.757,0.816
4387,0.745,0.822
4388,0.731,0.839
4390,0.788,0.825
4391,0.786,0.823
4392,0.801,0.804
4393,0.273,0.647
4396,0.425,0.785
4397,0.369,0.761
4398,0.423,0.751
4399,0.684,0.804
4400,0.653,0.794
4401,0.733,0.818
4402,0.696,0.782
4403,0.732,0.84
4404,0.765,0.83
4405,0.766,0.824
4406,0.719,0.791
4407,0.753,0.828
4408,0.762,0.818
4409,0.777,0.836
4410,0.73,0.778
4413,0.767,0.867
4414,0.787,0.856
4415,0.759,0.833
4418,0.756,0.786
4419,0.754,0.824
4420,0.801,0.837
4421,0.775,0.826
4422,0.758,0.8
4423,0.263,0.68
4424,0.39,0.732
4425,0.26,0.701
4426,0.316,0.678
4427,0.707,0.797
4428,0.642,0.78
4429,0.656,0.779
4430,0.565,0.768
4431,0.678,0.816
4432,0.743,0.817
4433,0.745,0.823
4434,0.712,0.791
4435,0.765,0.832
4437,0.768,0.822
4438,0.677,0.814
4439,0.705,0.772
4440,0.731,0.814
4442,0.755,0.846
4443,0.783,0.838
4444,0.749,0.85
4445,0.773,0.856
4446,0.787,0.875
4447,0.788,0.855
4448,0.754,0.81
4450,0.499,0.673
4451,0.518,0.755
4452,0.592,0.773
4454,0.792,0.815
4455,0.701,0.749
4456,0.568,0.776
4458,0.643,0.811
4459,0.639,0.803
4460,0.746,0.766
4461,0.71,0.785
4462,0.694,0.751
4463,0.693,0.8
4464,0.475,0.706
4466,0.679,0.812
4467,0.757,0.826
4468,0.795,0.835
4469,0.713,0.786
4470,0.806,0.832
4471,0.74,0.852
4472,0.769,0.828
4473,0.753,0.809
4474,0.816,0.827
4475,0.773,0.821
4477,0.798,0.906
4479,0.818,0.865
4480,0.827,0.869
4481,0.824,0.912
4482,0.834,0.9
4483,0.761,0.832
4485,0.832,0.864
4486,0.8,0.806
4487,0.81,0.914
4488,0.475,0.702
4489,0.397,0.773
4490,0.416,0.788
4492,0.514,0.762
4493,0.644,0.793
4494,0.703,0.794
4496,0.635,0.789
4497,0.698,0.797
4499,0.727,0.78
4500,0.749,0.824
4501,0.741,0.806
4502,0.703,0.803
4503,0.755,0.824
4504,0.763,0.829
4505,0.763,0.859
4506,0.717,0.817
4507,0.78,0.826
4508,0.785,0.804
4509,0.784,0.839
4510,0.783,0.84
4511,0.798,0.807
4512,0.808,0.843
4514,0.789,0.828
4515,0.793,0.85
4516,0.805,0.841
4517,0.798,0.831
4518,0.807,0.878
4520,0.802,0.869
4522,0.812,0.858
4523,0.799,0.883
4524,0.808,0.852
4526,0.784,0.891
4527,0.477,0.718
4528,0.491,0.767
4529,0.428,0.773
4530,0.544,0.794
4531,0.643,0.797
4532,0.723,0.811
4533,0.709,0.823
4534,0.698,0.809
4535,0.745,0.824
4537,0.771,0.844
4538,0.779,0.872
4539,0.744,0.803
4540,0.767,0.856
4542,0.778,0.839
4543,0.761,0.825
4544,0.791,0.875
4545,0.807,0.866
4546,0.804,0.868
4547,0.806,0.883
4548,0.801,0.9
4550,0.821,0.884
4551,0.816,0.863
4552,0.798,0.866
4553,0.824,0.859
4554,0.823,0.903
4555,0.824,0.914
4557,0.819,0.865
4558,0.822,0.89
4559,0.819,0.881
4560,0.825,0.876
4561,0.819,0.871
4562,0.831,0.895
4564,0.387,0.687
4565,0.533,0.779
4566,0.503,0.754
4567,0.587,0.771
4568,0.634,0.751
4569,0.719,0.809
4571,0.717,0.768
4572,0.751,0.793
4573,0.715,0.786
4574,0.739,0.794
4575,0.737,0.819
4576,0.753,0.813
4577,0.756,0.827
4578,0.757,0.824
4579,0.788,0.836
4582,0.736,0.796
4583,0.772,0.817
4584,0.78,0.821
4312,0.757,0.816
4313,0.745,0.822
4314,0.731,0.839
4315,0.788,0.825
4316,0.786,0.823
4319,0.801,0.804
4320,0.273,0.647
4321,0.425,0.785
4322,0.369,0.761
4323,0.423,0.751
4324,0.684,0.804
4326,0.653,0.794
4327,0.733,0.818
4328,0.696,0.782
4329,0.732,0.84
4331,0.765,0.83
4332,0.766,0.824
4333,0.719,0.791
4334,0.753,0.828
4335,0.762,0.818
4336,0.777,0.836
4337,0.73,0.778
4338,0.767,0.867
4340,0.787,0.856
4341,0.759,0.833
4342,0.756,0.786
4343,0.754,0.824
4345,0.801,0.837
4346,0.775,0.826
4347,0.758,0.8
4348,0.263,0.68
4349,0.39,0.732
4350,0.26,0.701
4352,0.316,0.678
4353,0.707,0.797
4354,0.642,0.78
4355,0.656,0.779
4356,0.565,0.768
4357,0.678,0.816
4358,0.743,0.817
4359,0.745,0.823
4361,0.712,0.791
4366,0.765,0.832
4367,0.768,0.822
4369,0.677,0.814
4370,0.705,0.772
4371,0.731,0.814
4372,0.755,0.846
4373,0.783,0.838
4374,0.749,0.85
4375,0.773,0.856
4377,0.787,0.875
4379,0.788,0.855
4382,0.754,0.81
4383,0.499,0.673
4384,0.518,0.755
4385,0.592,0.773
4386,0.792,0.815
4387,0.701,0.749
4388,0.568,0.776
4390,0.643,0.811
4391,0.639,0.803
4392,0.746,0.766
4393,0.71,0.785
4396,0.694,0.751
4397,0.693,0.8
4398,0.475,0.706
4399,0.679,0.812
4400,0.757,0.826
4401,0.795,0.835
4402,0.713,0.786
4403,0.806,0.832
4404,0.74,0.852
4405,0.769,0.828
4406,0.753,0.809
4407,0.816,0.827
4408,0.773,0.821
4409,0.798,0.906
4410,0.818,0.865
4413,0.827,0.869
4414,0.824,0.912
4415,0.834,0.9
4418,0.761,0.832
4419,0.832,0.864
4420,0.8,0.806
4421,0.81,0.914
4422,0.475,0.702
4423,0.397,0.773
4424,0.416,0.788
4425,0.514,0.762
4426,0.644,0.793
4427,0.703,0.794
4428,0.635,0.789
4429,0.698,0.797
4430,0.727,0.78
4431,0.749,0.824
4432,0.741,0.806
4433,0.703,0.803
4434,0.755,0.824
4435,0.763,0.829
4437,0.763,0.859
4438,0.717,0.817
4439,0.78,0.826
4440,0.785,0.804
4442,0.784,0.839
4443,0.783,0.84
4444,0.798,0.807
4445,0.808,0.843
4446,0.789,0.828
4447,0.793,0.85
4448,0.805,0.841
4450,0.798,0.831
4451,0.807,0.878
4452,0.802,0.869
4454,0.812,0.858
4455,0.799,0.883
4456,0.808,0.852
4458,0.784,0.891
4459,0.477,0.718
4460,0.491,0.767
4461,0.428,0.773
4462,0.544,0.794
4463,0.643,0.797
4464,0.723,0.811
4466,0.709,0.823
4467,0.698,0.809
4468,0.745,0.824
4469,0.771,0.844
4470,0.779,0.872
4471,0.744,0.803
4472,0.767,0.856
4473,0.778,0.839
4474,0.761,0.825
4475,0.791,0.875
4477,0.807,0.866
4479,0.804,0.868
4480,0.806,0.883
4481,0.801,0.9
4482,0.821,0.884
4483,0.816,0.863
4485,0.798,0.866
4486,0.824,0.859
4487,0.823,0.903
4488,0.824,0.914
4489,0.819,0.865
4490,0.822,0.89
4492,0.819,0.881
4493,0.825,0.876
4494,0.819,0.871
4496,0.831,0.895
4497,0.387,0.687
4499,0.533,0.779
4500,0.503,0.754
4501,0.587,0.771
4502,0.634,0.751
4503,0.719,0.809
4504,0.717,0.768
4505,0.751,0.793
4506,0.715,0.786
4507,0.739,0.794
4508,0.737,0.819
4509,0.753,0.813
4510,0.756,0.827
4511,0.757,0.824
4512,0.788,0.836
4514,0.736,0.796
4515,0.772,0.817
4516,0.78,0.821
4517,0.757,0.816
4518,0.745,0.822
4520,0.731,0.839
4522,0.788,0.825
4523,0.786,0.823
4524,0.801,0.804
4526,0.273,0.647
4527,0.425,0.785
4528,0.369,0.761
4529,0.423,0.751
4530,0.684,0.804
4531,0.653,0.794
4532,0.733,0.818
4533,0.696,0.782
4534,0.732,0.84
4535,0.765,0.83
4537,0.766,0.824
4538,0.719,0.791
4539,0.753,0.828
4540,0.762,0.818
4542,0.777,0.836
4543,0.73,0.778
4544,0.767,0.867
4545,0.787,0.856
4546,0.759,0.833
4547,0.756,0.786
4548,0.754,0.824
4550,0.801,0.837
4551,0.775,0.826
4552,0.758,0.8
4553,0.263,0.68
4554,0.39,0.732
4555,0.26,0.701
4557,0.316,0.678
4558,0.707,0.797
4559,0.642,0.78
4560,0.656,0.779
4561,0.565,0.768
4562,0.678,0.816
4564,0.743,0.817
4565,0.745,0.823
4566,0.712,0.791
4567,0.765,0.832
4568,0.768,0.822
4569,0.677,0.814
4571,0.705,0.772
4572,0.731,0.814
4573,0.755,0.846
4574,0.783,0.838
4575,0.749,0.85
4576,0.773,0.856
4577,0.787,0.875
4578,0.788,0.855
4579,0.754,0.81
4582,0.499,0.673
4583,0.518,0.755
4584,0.592,0.773
