ID,VIGOR1,VIGOR2
4312,4,4
4313,4,3
4314,3,3
4315,3,3
4316,3,4
4319,4,4
4320,4,4
4321,3,3
4322,4,3
4323,3,3
4324,5,4
4326,3,3
4327,5,5
4328,4,3
4329,5,4
4331,4,3
4332,3,3
4333,4,4
4334,4,4
4335,3,4
4336,5,5
4337,4,4
4338,3,3
4340,4,4
4341,4,4
4342,4,4
4343,3,3
4345,3,4
4346,4,3
4347,3,3
4348,3,3
4349,5,6
4350,4,5
4352,5,5
4353,5,5
4354,4,4
4355,5,6
4356,6,6
4357,5,5
4358,5,5
4359,5,6
4361,5,5
4366,4,4
4367,5,6
4369,5,5
4370,5,5
4371,5,5
4372,4,4
4373,5,5
4374,4,4
4375,5,6
4377,4,3
4379,5,5
4382,5,4
4383,5,5
4384,5,5
4385,5,4
4386,4,4
4387,5,5
4388,6,6
4390,4,4
4391,4,4
4392,5,5
4393,3,3
4396,4,4
4397,4,3
4398,3,2
4399,3,3
4400,5,4
4401,3,2
4402,3,3
4403,3,3
4404,5,6
4405,4,4
4406,4,4
4407,4,4
4408,4,3
4409,5,5
4410,5,5
4413,5,6
4414,3,3
4415,3,3
4418,5,5
4419,4,3
4420,3,3
4421,5,4
4422,4,4
4423,4,4
4424,4,3
4425,3,2
4426,4,3
4427,5,5
4428,4,4
4429,5,5
4430,4,5
4431,6,6
4432,5,5
4433,6,6
4434,4,4
4435,4,4
4437,4,4
4438,5,5
4439,5,6
4440,5,4
4442,6,6
4443,4,4
4444,5,6
4445,5,6
4446,4,4
4447,4,4
4448,5,5
4450,4,5
4451,5,5
4452,4,4
4454,3,3
4455,5,6
4456,5,5
4458,4,4
4459,4,5
4460,4,4
4461,4,4
4462,5,5
4463,4,4
4464,5,5
4466,5,5
4467,4,5
4468,3,2
4469,4,4
4470,3,2
4471,5,5
4472,4,4
4473,4,3
4474,4,4
4475,3,3
4477,3,3
4479,3,3
4480,6,6
4481,3,3
4482,5,5
4483,5,5
4485,4,3
4486,3,2
4487,3,3
4488,3,2
4489,5,4
4490,5,5
4492,4,4
4493,6,7
4494,6,6
4496,5,5
4497,5,5
4499,5,4
4500,4,4
4501,4,4
4502,4,5
4503,3,3
4504,3,3
4505,4,4
4506,4,3
4507,5,5
4508,3,2
4509,3,3
4510,4,4
4511,4,3
4512,5,4
4514,4,3
4515,8,8
4516,4,4
4517,6,6
4518,6,7
4520,6,6
4522,7,7
4523,7,7
4524,7,7
4526,8,8
4527,7,7
4528,7,7
4529,7,8
4530,9,8
4531,7,7
4532,8,8
4533,6,7
4534,6,7
4535,6,6
4537,5,5
4538,8,8
4539,7,8
4540,6,6
4542,4,4
4543,5,5
4544,5,6
4545,4,4
4546,3,3
4547,4,5
4548,4,4
4550,4,4
4551,6,6
4552,4,4
4553,4,4
4554,5,5
4555,5,6
4557,5,4
4558,4,4
4559,6,5
4560,6,6
4561,4,4
4562,4,3
4564,4,4
4565,5,5
4566,4,4
4567,4,4
4568,7,7
4569,7,7
4571,8,8
4572,6,6
4573,6,5
4574,5,4
4575,5,5
4576,4,3
4577,4,3
4578,5,5
4579,6,6
4582,5,6
4583,4,4
4584,5,5
4312,4,4
4313,5,5
4314,3,4
4315,3,3
4316,3,4
4319,4,4
4320,5,5
4321,2,2
4322,5,6
4323,3,3
4324,5,5
4326,3,3
4327,5,4
4328,4,3
4329,5,4
4331,4,3
4332,3,3
4333,4,3
4334,3,4
4335,4,3
4336,5,5
4337,4,4
4338,2,2
4340,3,3
4341,4,4
4342,3,2
4343,2,2
4345,2,3
4346,5,5
4347,3,3
4348,3,3
4349,5,5
4350,4,4
4352,6,7
4353,5,5
4354,4,4
4355,5,5
4356,6,7
4357,5,5
4358,5,4
4359,5,6
4361,5,5
4366,4,4
4367,6,7
4369,5,4
4370,5,5
4371,5,5
4372,5,5
4373,5,5
4374,5,5
4375,5,5
4377,4,4
4379,4,3
4382,5,5
4383,5,4
4384,4,5
4385,5,4
4386,4,3
4387,5,5
4388,6,7
4390,5,5
4391,3,3
4392,5,4
4393,2,2
4396,4,3
4397,4,3
4398,3,3
4399,3,4
4400,5,5
4401,4,5
4402,2,2
4403,3,3
4404,5,4
4405,4,4
4406,4,4
4407,4,4
4408,4,4
4409,5,6
4410,5,5
4413,5,6
4414,3,3
4415,4,4
4418,5,5
4419,5,6
4420,3,3
4421,5,5
4422,4,4
4423,4,3
4424,4,3
4425,4,3
4426,4,3
4427,5,5
4428,4,3
4429,4,5
4430,4,3
4431,6,6
4432,6,6
4433,6,6
4434,4,4
4435,3,3
4437,3,2
4438,4,4
4439,4,5
4440,6,6
4442,6,6
4443,4,4
4444,5,5
4445,6,6
4446,3,4
4447,5,5
4448,5,5
4450,3,3
4451,5,6
4452,4,4
4454,4,3
4455,5,6
4456,5,5
4458,4,4
4459,4,5
4460,5,4
4461,4,4
4462,5,5
4463,4,4
4464,6,6
4466,5,5
4467,4,4
4468,3,3
4469,4,3
4470,3,3
4471,5,4
4472,4,5
4473,5,4
4474,4,3
4475,2,2
4477,3,4
4479,3,3
4480,6,6
4481,3,2
4482,6,6
4483,5,4
4485,3,2
4486,4,4
4487,3,4
4488,3,3
4489,5,6
4490,5,5
4492,5,5
4493,6,5
4494,6,6
4496,5,5
4497,5,5
4499,4,4
4500,5,6
4501,3,3
4502,4,5
4503,2,2
4504,3,3
4505,3,3
4506,4,5
4507,5,5
4508,3,3
4509,3,3
4510,4,3
4511,4,3
4512,5,4
4514,4,3
4515,8,8
4516,4,3
4517,6,7
4518,6,5
4520,6,6
4522,7,7
4523,7,7
4524,7,7
4526,8,8
4527,7,6
4528,7,7
4529,7,8
4530,9,9
4531,7,7
4532,8,8
4533,6,6
4534,7,7
4535,6,7
4537,5,5
4538,8,8
4539,8,8
4540,6,7
4542,4,4
4543,5,4
4544,5,6
4545,4,4
4546,3,3
4547,4,5
4548,5,4
4550,4,4
4551,7,7
4552,4,4
4553,4,4
4554,6,6
4555,5,5
4557,4,4
4558,4,3
4559,6,6
4560,7,6
4561,4,5
4562,4,3
4564,4,3
4565,5,5
4566,5,6
4567,4,4
4568,6,6
4569,7,6
4571,8,8
4572,6,5
4573,5,4
4574,5,5
4575,6,7
4576,4,4
4577,4,5
4578,5,5
4579,5,5
4582,6,5
4583,4,4
4584,5,5
4312,4,4
4313,4,4
4314,3,2
4315,3,2
4316,3,3
4319,5,5
4320,4,5
4321,3,3
4322,5,4
4323,3,3
4324,6,6
4326,3,3
4327,4,4
4328,4,4
4329,6,4
4331,3,3
4332,3,3
4333,3,4
4334,4,4
4335,3,4
4336,4,4
4337,4,4
4338,3,3
4340,3,3
4341,4,5
4342,4,5
4343,3,2
4345,3,3
4346,3,3
4347,3,3
4348,2,1
4349,4,3
4350,4,4
4352,5,5
4353,5,5
4354,4,5
4355,6,6
4356,6,6
4357,5,6
4358,5,5
4359,5,4
4361,6,6
4366,4,5
4367,5,5
4369,5,5
4370,5,6
4371,4,5
4372,4,4
4373,4,4
4374,4,4
4375,5,5
4377,4,4
4379,6,6
4382,6,6
4383,5,5
4384,4,3
4385,5,6
4386,4,4
4387,5,5
4388,6,6
4390,4,3
4391,4,4
4392,6,7
4393,4,4
4396,4,3
4397,4,3
4398,3,3
4399,2,3
4400,5,6
4401,3,3
4402,3,3
4403,2,1
4404,5,5
4405,5,5
4406,4,4
4407,5,5
4408,4,4
4409,5,4
4410,5,4
4413,5,5
4414,3,3
4415,3,4
4418,6,6
4419,4,3
4420,4,4
4421,5,5
4422,3,3
4423,3,3
4424,4,4
4425,2,0
4426,4,4
4427,4,4
4428,5,6
4429,5,5
4430,4,5
4431,6,6
4432,5,5
4433,6,6
4434,4,4
4435,4,5
4437,4,5
4438,5,4
4439,5,5
4440,6,6
4442,6,6
4443,5,4
4444,5,4
4445,5,5
4446,3,3
4447,4,4
4448,5,6
4450,5,5
4451,4,4
4452,4,5
4454,2,2
4455,4,3
4456,6,6
4458,3,4
4459,4,4
4460,4,4
4461,4,5
4462,6,7
4463,4,4
4464,4,4
4466,5,5
4467,4,4
4468,2,2
4469,4,4
4470,3,3
4471,4,4
4472,4,3
4473,4,5
4474,4,4
4475,3,3
4477,3,3
4479,3,2
4480,6,6
4481,3,4
4482,4,4
4483,5,4
4485,5,4
4486,3,3
4487,3,4
4488,3,4
4489,4,4
4490,5,5
4492,4,3
4493,7,7
4494,6,6
4496,6,6
4497,4,4
4499,5,5
4500,3,2
4501,5,4
4502,4,4
4503,2,2
4504,3,4
4505,3,3
4506,5,4
4507,5,5
4508,3,3
4509,3,3
4510,4,4
4511,4,4
4512,5,3
4514,3,3
4515,8,8
4516,4,5
4517,5,5
4518,5,6
4520,5,5
4522,8,8
4523,7,7
4524,8,8
4526,7,8
4527,8,9
4528,7,6
4529,7,7
4530,9,9
4531,6,6
4532,8,7
4533,6,5
4534,6,6
4535,6,6
4537,4,4
4538,8,9
4539,7,7
4540,6,6
4542,3,4
4543,6,6
4544,6,5
4545,4,4
4546,2,3
4547,4,4
4548,4,4
4550,4,5
4551,5,6
4552,4,4
4553,3,3
4554,5,5
4555,5,5
4557,5,5
4558,5,5
4559,5,5
4560,6,6
4561,3,2
4562,4,5
4564,3,3
4565,4,4
4566,3,3
4567,5,4
4568,7,7
4569,7,8
4571,8,8
4572,6,5
4573,6,5
4574,4,4
4575,4,5
4576,5,6
4577,4,4
4578,5,5
4579,5,4
4582,5,5
4583,4,4
4584,4,4
